X(mm)  p(Pa)  T(K)  X_H2_  X_H_  X_O2_  X_OH_  X_H2O_  X_CH_  X_CH4_  X_CO_  X_CO2_  X_CH2O_  X_C2H6_  X_N2_  X_C3H8_
0.000000e+00  1.013250e+05  5.000000e+02  2.658276e-08  1.356215e-22  1.900452e-01  2.746784e-21  3.146738e-11  2.225487e-47  9.502262e-02  1.531203e-12  4.204333e-14  2.618048e-14  5.046639e-15  7.149321e-01  2.919377e-18
2.465000e+01  1.013250e+05  5.000000e+02  3.230949e-06  1.016467e-20  1.900446e-01  8.103478e-19  1.193970e-08  6.010763e-45  9.502230e-02  6.921425e-10  2.408367e-11  1.466045e-11  3.083099e-12  7.149298e-01  2.296730e-15
4.831400e+01  1.013250e+05  5.000198e+02  3.696243e-04  5.162242e-16  1.899747e-01  7.309684e-14  4.261928e-06  1.840007e-35  9.498384e-02  2.943168e-07  1.297687e-08  7.719382e-09  1.771515e-09  7.146672e-01  1.699444e-12
4.880700e+01  1.013250e+05  5.001034e+02  8.279314e-04  1.430132e-14  1.898842e-01  2.592572e-12  2.076051e-05  1.066506e-31  9.493074e-02  1.651776e-06  8.882078e-08  4.960592e-08  1.255694e-08  7.143345e-01  1.533967e-11
4.930000e+01  1.013250e+05  5.008867e+02  2.388831e-03  1.539765e-12  1.895493e-01  1.777932e-10  1.618730e-04  6.034064e-27  9.471114e-02  1.523046e-05  1.030172e-06  5.545690e-07  1.543109e-07  7.131711e-01  2.428068e-10
4.941667e+01  1.013250e+05  5.020233e+02  3.306624e-03  1.317209e-11  1.893154e-01  1.003259e-09  3.509643e-04  6.544443e-25  9.453267e-02  3.631239e-05  2.823031e-06  1.460469e-06  4.368078e-07  7.124514e-01  8.178867e-10
4.947500e+01  1.013250e+05  5.034254e+02  3.960182e-03  5.220065e-11  1.891152e-01  3.033669e-09  5.716539e-04  1.321140e-23  9.436478e-02  6.364097e-05  5.528933e-06  2.773372e-06  8.797338e-07  7.119119e-01  1.903014e-09
4.953333e+01  1.013250e+05  5.061889e+02  4.796896e-03  2.227405e-10  1.888021e-01  9.946599e-09  9.874204e-04  3.326537e-22  9.408570e-02  1.198485e-04  1.185890e-05  5.734347e-06  1.950799e-06  7.111818e-01  4.985903e-09
4.959167e+01  1.013250e+05  5.115992e+02  5.864422e-03  1.040842e-09  1.882884e-01  3.358346e-08  1.766496e-03  9.836391e-21  9.360817e-02  2.349357e-04  2.659230e-05  1.230739e-05  4.523700e-06  7.101804e-01  1.369767e-08
4.962083e+01  1.013250e+05  5.162190e+02  6.506512e-03  2.772053e-09  1.878936e-01  6.528240e-08  2.407856e-03  7.228896e-20  9.323514e-02  3.372345e-04  4.122021e-05  1.847918e-05  7.143415e-06  7.095326e-01  2.396330e-08
