#T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 6.000000e-01 1.664386e+03 1.045119e-01 4.329400e-04 1.088287e-08 9.739002e-09 2.262710e-12 2.121214e+12 1.909443e+12 4.457444e+08 6.436296e+11 5.793810e+11 1.352466e+08 
300 303975 6.000000e-01 1.664822e+03 5.383919e-02 1.891900e-04 3.603609e-09 3.283395e-09 3.292563e-13 6.610993e+11 6.052245e+11 6.082689e+07 2.012605e+11 1.842510e+11 1.851763e+07 
300 607950 6.000000e-01 1.665250e+03 3.240382e-02 1.251300e-04 1.210583e-09 1.131241e-09 7.185194e-14 2.149211e+11 1.986890e+11 1.280331e+07 6.548358e+10 6.053796e+10 3.900990e+06 
300 911925 6.000000e-01 1.665053e+03 2.433456e-02 1.021300e-04 5.275527e-10 5.093723e-10 2.551623e-14 9.233452e+10 8.926575e+10 4.488881e+06 2.814090e+10 2.720564e+10 1.368080e+06 
300 1215900 6.000000e-01 1.666440e+03 2.035835e-02 8.822000e-05 2.821876e-10 2.728978e-10 1.199333e-14 4.902043e+10 4.831764e+10 2.103089e+06 1.494208e+10 1.472786e+10 6.410490e+05 



500 101325 6.000000e-01 1.819047e+03 3.588590e-01 3.208300e-04 4.660335e-08 4.411744e-08 7.448027e-12 8.251011e+12 7.780368e+12 1.340032e+09 2.503784e+12 2.361033e+12 4.066227e+08 
500 303975 6.000000e-01 1.818751e+03 2.103653e-01 1.367700e-04 2.182818e-08 1.998154e-08 1.451855e-12 3.622629e+12 3.305442e+12 2.430282e+08 1.102883e+12 1.006325e+12 7.398770e+07 
500 607950 6.000000e-01 1.819637e+03 1.401836e-01 7.496000e-05 1.105551e-08 1.080303e-08 4.365961e-13 1.759055e+12 1.719820e+12 6.996457e+07 5.359696e+11 5.240158e+11 2.131757e+07 
500 911925 6.000000e-01 1.818945e+03 1.086080e-01 6.433000e-05 6.608981e-09 6.070373e-09 2.025928e-13 1.029171e+12 9.850623e+11 3.132775e+07 3.136651e+11 3.002224e+11 9.547890e+06 
500 1215900 6.000000e-01 1.819636e+03 9.086379e-02 5.300000e-05 4.384646e-09 4.040751e-09 1.115034e-13 6.714928e+11 6.090831e+11 1.714762e+07 2.046818e+11 1.856585e+11 5.226865e+06 



700 101325 6.000000e-01 1.977143e+03 9.208774e-01 2.437500e-04 1.521813e-07 1.503607e-07 1.966683e-11 2.441832e+13 2.413155e+13 3.231735e+09 7.410425e+12 7.323551e+12 9.807138e+08 
700 303975 6.000000e-01 1.977633e+03 5.803513e-01 1.064800e-04 8.471090e-08 7.793656e-08 4.456778e-12 1.273313e+13 1.182216e+13 6.795175e+08 3.876634e+12 3.599318e+12 2.068784e+08 
700 607950 6.000000e-01 1.978721e+03 4.145141e-01 6.005000e-05 5.304074e-08 4.932865e-08 1.607746e-12 7.601511e+12 7.087079e+12 2.326886e+08 2.316153e+12 2.159417e+12 7.089914e+07 
700 911925 6.000000e-01 1.979388e+03 3.361405e-01 4.426000e-05 3.780484e-08 3.466325e-08 8.435580e-13 5.265597e+12 4.893459e+12 1.187810e+08 1.604838e+12 1.491422e+12 3.620175e+07 
700 1215900 6.000000e-01 1.979920e+03 2.879405e-01 3.815000e-05 2.885978e-08 2.600239e-08 5.258116e-13 3.956280e+12 3.814518e+12 7.175734e+07 1.205948e+12 1.162738e+12 2.187294e+07 
