X(mm)  p(Pa)  T(K)  X_N2_  X_H_  X_O2_  X_OH_  X_H2_  X_H2O_  X_CO_  X_CO2_  X_CH4_  X_CH2O_  X_C2H6_  X_CH_  X_C3H8_
0.000000e+00  1.013250e+05  3.000000e+02  7.149321e-01  1.073882e-26  1.900452e-01  1.081457e-20  2.683413e-09  1.330837e-12  1.110854e-13  3.344864e-15  9.502262e-02  3.444472e-16  2.119022e-16  7.538204e-49  2.765730e-19
2.475000e+01  1.013250e+05  3.000000e+02  7.149319e-01  7.871984e-25  1.900452e-01  2.965679e-18  2.993575e-07  5.192084e-10  4.689723e-11  1.857706e-12  9.502259e-02  1.940826e-13  1.267281e-13  1.403257e-46  2.089147e-16
3.663000e+01  1.013250e+05  3.000006e+02  7.149235e-01  4.375558e-22  1.900430e-01  4.290018e-16  1.209218e-05  7.234833e-08  7.068522e-09  3.679039e-10  9.502138e-02  3.819110e-11  2.697588e-11  6.044883e-43  5.621337e-14
4.851000e+01  1.013250e+05  3.001101e+02  7.144664e-01  1.532160e-17  1.899188e-01  4.107415e-13  6.493951e-04  1.355228e-05  1.432744e-06  9.807314e-08  9.495025e-02  1.025237e-08  7.740573e-09  1.492835e-36  2.037475e-11
4.900500e+01  1.013250e+05  3.005553e+02  7.139120e-01  8.583755e-16  1.897573e-01  1.198975e-11  1.408886e-03  6.866363e-05  7.738123e-06  6.654702e-07  9.484431e-02  6.882460e-08  5.539548e-08  8.043377e-33  1.806017e-10
4.925250e+01  1.013250e+05  3.020758e+02  7.131490e-01  2.113636e-14  1.894994e-01  1.640358e-10  2.415019e-03  2.561664e-04  3.072084e-05  3.296812e-06  9.464440e-02  3.423888e-07  2.910813e-07  7.476071e-30  1.162605e-09
4.937625e+01  1.013250e+05  3.050283e+02  7.124074e-01  1.875431e-13  1.891849e-01  8.792833e-10  3.328673e-03  6.194982e-04  7.810330e-05  1.001617e-05  9.436576e-02  1.042562e-06  9.284567e-07  7.315858e-28  4.397317e-09
4.950000e+01  1.013250e+05  3.135170e+02  7.111527e-01  2.013107e-12  1.884860e-01  4.487928e-09  4.723660e-03  1.661384e-03  2.222377e-04  3.476041e-05  9.370108e-02  3.616085e-06  3.400930e-06  9.376660e-26  1.944260e-08
4.954167e+01  1.013250e+05  3.198523e+02  7.105119e-01  5.582448e-12  1.880234e-01  8.533034e-09  5.352241e-03  2.436321e-03  3.354587e-04  5.766657e-05  9.325390e-02  5.972322e-06  5.791546e-06  7.284057e-25  3.658030e-08
4.958333e+01  1.013250e+05  3.299162e+02  7.096916e-01  1.672531e-11  1.873178e-01  1.621457e-08  6.079911e-03  3.661324e-03  5.221200e-04  1.000755e-04  9.257853e-02  1.030162e-05  1.036490e-05  6.443694e-24  7.364412e-08
4.960417e+01  1.013250e+05  3.370911e+02  7.091925e-01  3.111377e-11  1.868229e-01  2.269276e-08  6.484109e-03  4.529657e-03  6.594824e-04  1.344063e-04  9.211285e-02  1.377269e-05  1.416776e-05  2.158458e-23  1.078697e-07
4.962500e+01  1.013250e+05  3.462212e+02  7.086216e-01  6.022519e-11  1.861957e-01  3.187856e-08  6.915725e-03  5.628437e-03  8.385769e-04  1.824315e-04  9.153232e-02  1.859030e-05  1.959713e-05  7.697573e-23  1.608252e-07
4.964583e+01  1.013250e+05  3.577330e+02  7.079709e-01  1.232617e-10  1.854042e-01  4.492816e-08  7.374194e-03  7.004294e-03  1.070098e-03  2.489158e-04  9.081329e-02  2.519607e-05  2.726273e-05  2.963941e-22  2.417712e-07
