T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.641480e+03 2.308073e-01 4.479200e-04 6.744467e-10 6.271293e-10 1.499291e-13 1.844431e+11 1.686781e+11 4.107448e+07 5.594497e+10 5.116239e+10 1.245836e+07 
300 101325 5.500000e-01 1.730879e+03 2.963781e-01 3.750000e-04 1.525764e-09 1.449304e-09 3.003205e-13 3.907045e+11 3.730066e+11 7.735888e+07 1.185374e+11 1.131668e+11 2.346972e+07 
300 101325 6.000000e-01 1.834406e+03 3.850606e-01 3.541700e-04 3.558371e-09 3.368118e-09 6.281953e-13 8.399060e+11 7.811430e+11 1.488584e+08 2.548974e+11 2.370603e+11 4.517495e+07 
300 101325 6.500000e-01 1.929845e+03 4.711427e-01 3.177100e-04 7.149853e-09 6.800966e-09 1.148344e-12 1.571265e+12 1.473962e+12 2.537787e+08 4.769676e+11 4.474244e+11 7.703424e+07 
300 101325 7.000000e-01 2.017216e+03 5.593677e-01 2.812500e-04 1.301949e-08 1.277047e-08 1.922768e-12 2.677827e+12 2.606137e+12 3.990089e+08 8.130415e+11 7.912679e+11 1.211440e+08 
300 101325 7.500000e-01 2.092155e+03 6.408886e-01 2.864500e-04 2.094870e-08 1.962519e-08 2.959040e-12 4.083115e+12 3.777451e+12 5.806615e+08 1.239918e+12 1.147079e+12 1.763247e+08 
300 101325 8.000000e-01 2.163780e+03 7.275316e-01 2.447900e-04 3.351237e-08 3.312111e-08 4.395670e-12 6.165496e+12 6.066779e+12 8.186295e+08 1.872575e+12 1.842584e+12 2.486273e+08 
300 101325 8.500000e-01 2.225093e+03 8.116658e-01 2.447900e-04 5.056921e-08 4.875776e-08 6.412278e-12 8.832226e+12 8.460403e+12 1.132611e+09 2.682887e+12 2.569919e+12 3.440353e+08 
300 101325 9.000000e-01 2.276121e+03 8.926458e-01 2.447900e-04 7.345701e-08 6.897924e-08 9.035045e-12 1.223283e+13 1.139382e+13 1.519421e+09 3.716331e+12 3.461396e+12 4.615886e+08 
300 101325 9.500000e-01 2.315866e+03 9.689276e-01 2.447900e-04 1.034869e-07 9.537530e-08 1.240377e-11 1.644547e+13 1.608478e+13 1.969202e+09 4.996692e+12 4.887077e+12 5.982978e+08 
300 101325 1.000000e+00 2.346892e+03 1.041069e+00 2.187500e-04 1.416847e-07 1.371440e-07 1.635168e-11 2.156361e+13 2.079326e+13 2.521620e+09 6.552429e+12 6.318303e+12 7.662171e+08 
300 101325 1.050000e+00 2.365112e+03 1.108798e+00 2.187500e-04 1.894474e-07 1.840172e-07 2.146324e-11 2.769892e+13 2.635930e+13 3.169653e+09 8.417528e+12 8.010357e+12 9.632184e+08 
300 101325 1.100000e+00 2.373356e+03 1.170473e+00 2.135400e-04 2.456352e-07 2.375762e-07 2.738241e-11 3.463006e+13 3.337170e+13 3.907938e+09 1.052474e+13 1.014222e+13 1.187673e+09 
300 101325 1.150000e+00 2.374422e+03 1.230088e+00 2.083300e-04 3.167894e-07 3.075667e-07 3.475265e-11 4.301717e+13 4.166676e+13 4.783043e+09 1.307477e+13 1.266424e+13 1.453745e+09 
300 101325 1.200000e+00 2.367353e+03 1.284234e+00 2.239600e-04 4.010957e-07 3.633598e-07 4.411339e-11 5.257420e+13 5.127730e+13 5.778679e+09 1.598072e+13 1.558644e+13 1.756487e+09 
300 101325 1.250000e+00 2.353042e+03 1.332420e+00 2.187500e-04 4.965923e-07 4.580685e-07 5.420486e-11 6.301284e+13 6.212406e+13 6.869249e+09 1.915500e+13 1.888472e+13 2.088115e+09 
