# CH RKR potential curve
# after 2005-richmond
# Distance (Å)  Potential (cm⁻¹)
# X²Π Level
0.778 27.253086
0.922 6.779835
0.957 4.156379
1.019 1.430041
1.121 0.000
1.244 1.430041
1.353 4.156379
1.446 6.779835
2.000 21.131687


# A²Δ level
0.836 39.907407
0.909 29.876543
0.946 27.304527
1.004 24.578189
1.103 23.086420
1.226 24.578189
1.345 27.304527
1.444 29.876543
2.000 38.518519


# B²Σ⁻ level
0.862 45.000000
1.022 28.950617
1.071 27.098765
1.164 26.224280
1.317 27.098765
1.554 28.950617
1.761 29.310700
2.000 29.053498

