X(in) λf/2
0.601 385.248
0.602 385.379
0.603 385.451
0.604 385.523
0.605 385.651
0.606 385.701
0.607 385.835
0.608 385.908
0.609 385.954
0.610 386.108
0.611 386.163
0.612 386.309
0.613 386.349
0.614 386.420
0.615 386.560
0.616 386.627
0.617 386.765
0.618 386.812
0.619 386.874
0.620 386.995
0.621 387.072
0.622 387.216
0.623 387.273
0.624 387.35
0.625 387.469


# Repeat
0.601 385.255
0.602 385.368
0.603 385.450
0.604 385.503
0.605 385.637
0.606 385.694
0.607 385.821
0.608 385.900
0.609 385.951
0.610 386.106
0.611 386.140
0.612 386.310
0.613 386.353
0.614 386.411
0.615 386.556
0.616 386.601
0.617 386.757
0.618 386.811
0.619 386.865
0.620 387.008
0.621 387.081
0.622 387.209
0.623 387.286
0.624 387.365
0.625 387.469
