# p = 1 atm, T = 300 K, U₀ = 30 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
15.00   0.00    0.00    326 42  22  2.87    0.59    5.78    3.27    3.75    8.39
16.00   0.00    0.00    3177    204 272 2.59    0.59    0.49    2.82    2.32    2.75
17.00   0.00    0.00    1197    57  30  2.47    2.82    9.06    2.85    5.98    8.91
18.00   0.00    0.00    4709    255 36  2.52    0.85    4.94    2.87    1.67    8.08
19.00   0.00    0.00    4824    40  136 2.29    0.25    0.04    3.03    1.58    1.86
20.00   0.00    0.00    4696    82  222 1.49    0.13    -0.29   2.88    1.97    2.73
21.00   0.00    0.00    4792    135 73  0.86    0.45    -0.63   2.85    1.84    2.11
22.00   0.00    0.00    4246    573 181 1.26    0.69    -0.40   2.98    2.13    2.02
23.00   0.00    0.00    4505    199 296 1.07    0.46    -0.79   3.14    2.03    2.24
24.00   0.00    0.00    4502    130 368 0.44    0.25    -1.18   3.02    1.74    2.27
25.00   0.00    0.00    4665    118 217 -0.36   0.39    -0.78   2.80    1.67    2.68
26.00   0.00    0.00    4269    700 31  -0.28   0.34    0.53    2.99    1.78    5.67
27.00   0.00    0.00    4539    214 247 -1.30   0.29    -1.90   2.91    1.73    2.10
28.00   0.00    0.00    4577    216 207 -0.69   0.21    -1.80   3.20    2.14    2.66
29.00   0.00    0.00    4233    282 485 -1.85   0.04    -0.88   2.97    1.63    2.59
30.00   0.00    0.00    4657    142 201 -1.55   -0.14   -2.32   2.95    2.79    1.99
31.00   0.00    0.00    4606    212 182 -2.10   -0.31   -2.32   2.82    1.81    2.24
32.00   0.00    0.00    4321    491 188 -2.12   -0.06   -2.37   2.83    1.77    2.40
33.00   0.00    0.00    4442    383 175 -2.48   -0.58   -1.74   2.85    1.82    3.69
34.00   0.00    0.00    4620    175 205 -2.37   -0.41   -2.35   2.61    2.83    1.82
35.00   0.00    0.00    4262    334 404 -2.84   -0.70   -0.10   2.27    1.67    2.49
36.00   0.00    0.00    4316    442 242 -3.09   -0.94   -1.69   2.19    1.78    1.76
37.00   0.00    0.00    4449    432 119 -2.70   -0.86   -2.09   2.50    1.80    2.49
38.00   0.00    0.00    4399    442 159 -2.87   -0.90   -1.65   2.14    1.62    1.44
39.00   0.00    0.00    4623    308 69  -3.12   -1.17   -0.82   1.97    1.93    2.23
40.00   0.00    0.00    4718    212 70  -3.25   -0.74   -1.77   2.04    2.87    1.58
41.00   0.00    0.00    4595    326 79  -3.47   -0.93   -1.55   1.78    1.61    1.23
42.00   0.00    0.00    4551    141 308 -3.37   -1.35   -1.30   1.88    1.72    1.64
43.00   0.00    0.00    4027    791 182 -3.51   -0.98   1.61    1.78    1.52    7.31
44.00   0.00    0.00    4437    490 73  -3.62   -0.94   -1.40   1.71    1.61    1.44
45.00   0.00    0.00    4405    519 76  -3.40   -1.17   -1.39   1.87    1.82    1.50
46.00   0.00    0.00    4484    402 114 -3.56   -0.74   -0.82   1.81    1.96    1.40
47.00   0.00    0.00    4290    602 108 -3.57   -1.00   -0.95   1.81    1.62    1.69
48.00   0.00    0.00    4419    395 186 -3.72   -1.19   -0.98   1.76    1.59    1.57
49.00   0.00    0.00    3325    1317    358 -3.62   -0.98   -0.93   1.80    1.54    2.11
50.00   0.00    0.00    4523    339 138 -3.72   -0.96   -1.04   1.75    1.56    1.55
51.00   0.00    0.00    4574    323 103 -3.85   -0.99   -0.73   1.79    1.84    2.87
52.00   0.00    0.00    4801    54  145 -3.93   -1.16   -0.99   1.71    1.47    1.57
53.00   0.00    0.00    4769    149 82  -4.06   -1.12   -0.70   1.85    1.55    1.76
54.00   0.00    0.00    4807    43  150 -4.00   -0.67   -0.76   1.75    1.51    1.55
55.00   0.00    0.00    4583    105 312 -3.98   -1.28   -0.74   1.78    1.49    1.67
56.00   0.00    0.00    4670    48  282 -4.00   -1.36   -0.60   1.80    1.89    1.56
57.00   0.00    0.00    4605    38  357 -4.09   -0.72   -0.60   1.76    1.68    1.70
58.00   0.00    0.00    4636    39  325 -4.14   -0.92   -0.72   1.79    1.87    1.73
59.00   0.00    0.00    4633    27  340 -4.20   -1.08   -0.66   1.76    1.52    1.62
60.00   0.00    0.00    4642    73  285 -4.07   -1.26   -0.63   1.90    2.05    1.66
61.00   0.00    0.00    4559    89  352 -4.13   -1.02   -0.50   1.78    1.82    1.65
62.00   0.00    0.00    4534    111 355 -4.12   -0.86   -0.29   1.84    1.72    1.71
63.00   0.00    0.00    4720    45  235 -4.26   -0.99   -0.33   1.72    1.49    1.66
64.00   0.00    0.00    4687    1   312 -4.25   ?   -0.46   1.83    ?   1.61
