# p = 1 atm, T = 500 K, U₀ = 75 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
15.00   0.00    0.00    4527    380 93  25.00   -2.41   -4.46   19.00   9.84    10.95
16.00   0.00    0.00    4129    210 661 23.61   -1.58   -2.26   19.15   9.00    8.25
17.00   0.00    0.00    4203    249 548 23.09   -0.44   -4.64   18.44   8.79    8.16
18.00   0.00    0.00    4101    212 687 22.24   -0.18   -5.34   18.49   11.27   9.01
19.00   0.00    0.00    4235    226 539 20.69   0.52    -6.68   18.55   10.69   9.12
20.00   0.00    0.00    3605    253 329 19.02   -0.47   -8.23   19.03   10.71   9.26
21.00   0.00    0.00    3640    424 229 19.25   0.69    -8.52   18.66   9.92    8.44
22.00   0.00    0.00    2610    351 670 18.53   -0.34   -8.89   18.21   9.78    8.62
23.00   0.00    0.00    2779    285 518 16.12   1.89    -10.87  19.00   9.19    9.79
24.00   0.00    0.00    2340    261 407 14.36   0.16    -11.25  18.26   8.92    9.49
25.00   0.00    0.00    1440    281 245 14.62   -0.03   -13.38  17.16   10.63   13.40
26.00   0.00    0.00    2721    115 174 12.25   -0.72   -14.74  19.78   10.25   13.49
27.00   0.00    0.00    2547    300 492 12.73   0.00    -11.87  18.05   9.70    9.75
28.00   0.00    0.00    1667    85  430 11.46   -6.96   -12.42  18.93   13.77   9.41
29.00   0.00    0.00    2476    377 654 9.38    -0.90   -12.65  18.60   9.08    10.15
30.00   0.00    0.00    3966    592 442 6.12    -1.59   -12.43  19.85   8.73    8.98
31.00   0.00    0.00    4008    130 862 4.75    -4.47   -11.95  19.15   8.17    8.61
32.00   0.00    0.00    3633    55  1312    5.45    -4.27   -12.08  19.23   7.15    8.57
33.00   0.00    0.00    3753    433 814 2.31    -3.33   -12.53  18.86   8.47    9.29
34.00   0.00    0.00    3151    687 1162    3.20    -4.50   -12.52  18.80   8.28    7.92
35.00   0.00    0.00    4131    657 212 0.54    -4.15   -13.34  18.40   8.18    9.31
36.00   0.00    0.00    2987    986 1027    2.59    -4.41   -12.78  17.95   8.11    8.91
37.00   0.00    0.00    3116    457 1427    -0.39   -6.03   -12.12  18.84   7.47    8.71
38.00   0.00    0.00    3087    530 1383    -1.63   -5.63   -12.44  18.84   7.42    9.09
39.00   0.00    0.00    1395    1057    798 0.73    -5.95   -12.80  17.04   7.71    9.48
40.00   0.00    0.00    1107    964 146 -2.62   -6.24   -13.85  18.11   7.64    12.49
41.00   0.00    0.00    1064    933 886 -3.22   -6.95   -11.39  17.94   7.46    9.18
42.00   0.00    0.00    758 378 609 -6.19   -6.85   -11.48  18.03   7.97    9.42
43.00   0.00    0.00    702 428 656 -5.13   -6.36   -11.33  17.63   7.62    8.53
44.00   0.00    0.00    847 419 367 -8.19   -7.26   -10.68  17.35   6.89    7.51
45.00   0.00    0.00    778 654 759 -5.98   -7.34   -10.13  16.96   7.42    8.22
46.00   0.00    0.00    1064    9   539 -11.35  ?   -10.08  16.80   ?   8.36
47.00   0.00    0.00    803 214 541 -11.55  -7.93   -10.28  17.49   7.21    9.00
48.00   0.00    0.00    558 126 297 -10.34  -8.12   -11.71  18.67   7.04    11.67
49.00   0.00    0.00    825 226 71  -14.25  -8.00   -14.14  17.18   6.78    12.38
50.00   0.00    0.00    452 142 360 -10.35  -7.43   -10.00  15.81   7.56    10.60
51.00   0.00    0.00    482 34  235 -16.92  -7.71   -7.85   17.45   5.19    7.53
52.00   0.00    0.00    556 77  382 -17.76  -8.20   -7.44   16.14   7.37    8.38
53.00   0.00    0.00    168 102 270 -14.32  -7.81   -9.02   16.83   6.28    11.39
54.00   0.00    0.00    668 68  151 -20.83  -9.38   -12.94  16.29   7.45    12.98
55.00   0.00    0.00    371 93  320 -20.02  -7.98   -9.33   14.92   6.23    11.06
56.00   0.00    0.00    533 342 390 -18.29  -7.70   -7.73   15.04   7.17    10.33
57.00   0.00    0.00    608 64  246 -21.04  -8.08   -9.43   15.05   5.28    12.41
58.00   0.00    0.00    567 22  97  -20.59  -8.03   -12.93  14.70   5.00    12.49
59.00   0.00    0.00    528 3   249 -19.18  ?   -8.57   15.75   ?   10.91
60.00   0.00    0.00    871 3   47  -22.76  ?   -8.22   13.85   ?   9.32
61.00   0.00    0.00    626 10  356 -22.15  ?   -8.33   15.09   ?   11.27
62.00   0.00    0.00    438 78  229 -22.62  -9.25   -9.71   13.25   6.27    13.66
63.00   0.00    0.00    1030    85  51  -23.57  -8.74   -9.05   14.08   6.84    8.86
64.00   0.00    0.00    575 136 204 -23.36  -8.19   -7.93   14.39   7.32    10.27
65.00   0.00    0.00    793 224 187 -23.50  -8.20   -10.42  13.93   6.72    13.92
66.00   0.00    0.00    432 583 302 -23.20  -8.17   -8.18   12.96   7.13    13.25
67.00   0.00    0.00    576 438 256 -22.93  -8.00   -6.98   12.83   7.83    11.46
68.00   0.00    0.00    668 10  138 -22.45  ?   -13.21  14.81   ?   15.19
69.00   0.00    0.00    700 122 144 -20.66  -7.25   -14.14  14.75   7.36    16.73
70.00   0.00    0.00    740 188 287 -22.32  -7.48   -9.48   14.56   7.55    14.31
71.00   0.00    0.00    668 33  216 -22.30  -8.39   -8.68   14.06   9.03    15.70
72.00   0.00    0.00    419 22  179 -23.05  -6.79   -6.96   12.29   8.06    10.53
73.00   0.00    0.00    279 31  113 -21.34  -6.14   -12.38  15.14   8.28    12.06
74.00   0.00    0.00    449 19  98  -23.05  -4.91   -12.31  12.99   8.10    15.71
75.00   0.00    0.00    565 252 121 -23.52  -6.98   -15.98  12.16   8.47    17.46


# 15 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
15.00   51.00   0.00    127 0   9   -4.71   ?   ?   18.26   ?   ?
15.00   49.00   0.00    309 0   11  1.29    -14.53  ?   15.18   13.19   ?
15.00   47.00   0.00    304 0   5   5.10    ?   ?   12.46   ?   ?
15.00   45.00   0.00    846 0   7   9.08    ?   ?   12.35   ?   ?
15.00   43.00   0.00    684 0   3   10.30   ?   ?   11.94   ?   ?
15.00   41.00   0.00    1211    0   11  13.20   -12.89  ?   11.09   3.68    ?
15.00   39.00   0.00    3838    0   69  14.61   -14.39  ?   10.60   8.75    ?
15.00   37.00   0.00    4914    0   86  15.89   -14.99  ?   10.51   7.30    ?
15.00   35.00   0.00    2260    0   24  16.21   -17.73  ?   9.91    8.14    ?
15.00   33.00   0.00    1263    0   34  16.79   -15.19  ?   9.43    6.65    ?
15.00   31.00   0.00    2055    0   65  17.45   -15.63  ?   9.59    11.19   ?
15.00   30.00   0.00    1543    0   64  17.58   -18.12  ?   9.53    9.85    ?
15.00   29.00   0.00    1280    0   69  17.51   -15.60  ?   9.82    11.25   ?
15.00   28.00   0.00    524 0   71  17.05   -16.31  ?   12.49   8.53    ?
15.00   27.00   0.00    1932    0   186 22.21   -19.55  ?   13.40   13.76   ?
15.00   26.00   0.00    489 0   115 24.53   -25.79  ?   17.16   16.76   ?
15.00   25.00   0.00    4467    0   338 35.23   -25.58  ?   18.14   17.92   ?
15.00   24.00   0.00    2127    11  167 43.28   -31.37  -1.04   17.61   17.94   9.64
15.00   23.00   0.00    3234    68  269 50.16   -38.27  -2.66   16.12   18.25   10.70
15.00   22.00   0.00    1329    323 196 54.81   -43.29  1.34    13.69   16.36   15.24
