# p = 1 atm, T = 465 K, U₀ = 30 m/s, reacting Φ=0.55, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
135.00  0.00    0.00    104 15  1   -4.72   -5.32   ?   4.72    4.07    ?
133.00  0.00    0.00    181 14  5   -5.15   -1.98   ?   5.17    4.94    ?
131.00  0.00    0.00    47  5   4   -7.71   ?   ?   5.86    ?   ?
129.00  0.00    0.00    517 574 83  -7.90   -3.90   -0.92   5.67    6.06    5.39
127.00  0.00    0.00    292 28  5   -8.22   -5.43   ?   5.53    5.75    ?
125.00  0.00    0.00    130 57  17  -8.26   -5.46   -0.55   5.26    4.94    8.20
123.00  0.00    0.00    904 783 273 -9.37   -4.36   -0.51   5.25    5.29    5.57
121.00  0.00    0.00    135 181 6   -10.40  -3.89   ?   5.10    5.67    ?
119.00  0.00    0.00    51  58  2   -10.17  -5.36   ?   5.44    5.00    ?
117.00  0.00    0.00    10  15  0   ?   -2.19   ?   ?   6.49    ?
115.00  0.00    0.00    185 705 8   -13.26  -3.64   ?   4.54    5.52    ?
113.00  0.00    0.00    458 725 108 -13.03  -4.07   -0.60   5.04    5.24    5.01
111.00  0.00    0.00    258 763 24  -14.96  -3.75   -1.93   4.33    5.10    3.86
109.00  0.00    0.00    206 290 43  -14.56  -3.70   -1.33   4.66    5.83    5.37
107.00  0.00    0.00    550 1565    65  -15.09  -3.74   -1.39   4.42    5.03    5.22
105.00  0.00    0.00    273 1058    53  -15.17  -3.83   -0.89   4.26    5.18    5.26
103.00  0.00    0.00    16  97  5   -14.46  -4.45   ?   4.29    4.60    ?
101.00  0.00    0.00    307 653 139 -15.59  -3.54   -1.75   4.13    5.12    4.80
99.00   0.00    0.00    225 629 264 -15.41  -3.72   -0.79   4.22    4.97    5.42
97.00   0.00    0.00    81  129 28  -15.47  -3.69   -1.30   4.69    5.11    5.69
95.00   0.00    0.00    47  89  23  -15.70  -2.64   -0.28   3.20    4.80    5.04
93.00   0.00    0.00    107 194 0   -16.22  -2.65   ?   3.33    5.30    ?
91.00   0.00    0.00    44  152 9   -14.35  -3.60   ?   4.62    4.98    ?
90.00   0.00    0.00    676 105 15  -16.16  -1.23   0.21    3.81    4.11    4.93
89.00   0.00    0.00    11  49  2   -14.12  -4.97   ?   3.53    5.04    ?
85.00   0.00    0.00    732 64  58  -16.45  -0.61   -1.65   3.80    4.36    3.89
80.00   0.00    0.00    637 45  108 -16.94  -1.06   -0.28   3.39    3.98    4.24
75.00   0.00    0.00    3264    892 561 -16.25  -0.93   0.37    3.58    4.23    4.16
70.00   0.00    0.00    716 85  525 -16.28  -1.15   -0.02   3.71    3.85    4.14
65.00   0.00    0.00    425 107 812 -15.73  -1.66   -0.46   4.24    4.28    4.03
60.00   0.00    0.00    56  41  168 -14.89  -1.57   -0.89   4.33    3.82    3.77
55.00   0.00    0.00    388 106 1169    -14.90  -1.61   -0.69   4.25    3.99    3.69
50.00   0.00    0.00    416 46  927 -14.94  -1.82   -1.02   4.42    4.13    3.42
45.00   0.00    0.00    209 44  591 -13.43  -2.53   -1.24   5.24    3.95    3.46
40.00   0.00    0.00    1416    228 1153    -12.28  -3.23   -1.73   5.62    3.97    3.47
37.50   0.00    0.00    1058    28  58  -13.40  -4.25   -1.18   5.88    4.32    3.44
35.00   0.00    0.00    1216    98  248 -10.46  -3.46   -1.65   6.79    3.78    3.43
32.50   0.00    0.00    691 8   23  -8.74   ?   -1.09   7.91    ?   4.09
30.00   0.00    0.00    1183    60  254 -6.29   -1.66   -1.68   8.03    3.49    3.91
27.50   0.00    0.00    812 12  10  -4.71   -0.60   ?   8.76    2.35    ?
25.00   0.00    0.00    1440    29  95  -2.84   -0.59   -2.46   8.37    3.90    4.02
22.50   0.00    0.00    1033    20  91  0.31    0.38    -1.42   8.31    3.68    4.00
20.00   0.00    0.00    1961    131 29  0.70    0.73    -2.42   7.56    3.18    3.01
